team1,team2,team3,team4,team5,team6
1756,525,9120,1706,973,3136
4611,4342,9579,9545,1684,2875
201,4451,1899,8738,5436,4020
2659,1768,5813,5584,4405,4766
9128,2438,1787,9785,9758,2642
1816,2582,4450,1683,801,5126
4391,5587,1747,1701,1414,2959
7312,4118,8,1796,4381,3647
4112,7021,5010,2851,3132,2375
3061,9644,4145,9593,4188,7419
589,2429,6017,2035,5406,494
4944,3193,5665,325,4952,3637
2877,2438,525,1477,9579,201
9128,9120,1816,2875,4451,4405
5813,9785,4020,2959,9545,8738
9758,1768,1899,1796,1756,1683
1701,4766,2851,2642,2375,8
2582,1414,1706,1787,1684,4112
5436,801,4145,4118,5587,589
4450,7021,4611,494,5665,3061
1477,3136,3132,9593,6017,4342
7419,9644,4944,2035,3193,5584
3637,5406,4188,325,3647,5010
2659,1747,4952,5126,2877,4381
4391,973,9545,7312,2429,1899
5813,2959,2375,9128,9758,1683
2582,2851,9785,4145,1706,9579
5665,4020,1684,1768,9120,1701
8,9593,1756,4112,4450,201
2875,5584,3061,6017,1477,5587
325,4405,2035,3647,4342,2642
3136,2877,4451,4766,3637,4381
525,4188,4391,4611,8738,1816
5126,4118,2438,5406,3132,7419
3193,7312,9644,1787,494,801
4952,4944,5436,973,2659,7021
5010,1796,2429,1414,589,1747
1756,4450,1701,9128,2875,2851
1477,8,325,5813,4145,9120
2877,1706,4766,1899,3061,5587
4381,6017,9758,2642,4112,4188
9579,2035,3132,5665,3136,8738
1768,2375,1787,9545,525,7419
2659,4020,4118,7021,1816,3193
973,7312,9593,3637,5126,589
1796,5436,9644,4342,2438,2582
1683,5406,1414,4611,4405,4944
3647,4952,1684,201,4391,2959
4451,494,9785,5584,1747,5010
801,9579,4112,2429,325,9128
2875,8738,2877,2642,4145,1768
1701,4118,2035,1899,1787,525
3061,7419,2659,3136,7312,9758
9545,589,1477,1816,8,5665
4766,6017,2582,1414,4611,1756
201,9644,5406,5587,2851,973
4020,5010,9593,4952,5813,2438
4391,4405,1796,4450,3637,9785
4342,1747,5126,1706,3193,3647
1684,3132,4188,801,4944,4451
2959,1683,7021,4381,5584,2429
2375,9120,9545,5436,494,2877
6017,1899,8,525,9128,2659
9758,4766,589,2582,8738,4118
4952,4112,3136,4145,1701,5406
9579,7419,1756,4020,3637,4391
5010,5665,1414,9644,5126,2642
3647,2035,2438,4451,5813,973
1706,201,4611,5584,801,1796
9120,9593,5587,4944,2429,1768
325,4381,7312,2375,4450,1684
4188,1787,4405,7021,1747,1477
2959,2851,494,4342,3061,1816
5436,9785,2875,3193,1683,3132
9128,1756,4952,4118,9545,9644
4145,525,2035,4020,4766,5126
801,4611,8,2877,5010,973
5587,5665,3647,2582,4112,9593
2438,2642,1899,4450,9120,5584
3637,8738,9758,2429,1477,1684
1747,1816,4944,6017,2375,9579
494,325,3132,1701,1706,2659
4381,1787,5813,5436,4391,3061
2851,589,4342,7419,4451,1683
1796,201,2875,4405,2959,3136
7312,7021,5406,1768,1414,9785
1756,5587,3193,4188,5010,2035
2438,5584,3637,4112,4145,9545
1747,973,525,5665,9758,4450
3132,1816,4766,9644,2429,3647
4020,4381,1477,494,4944,9128
8738,1683,325,1787,5126,6017
7419,1796,2877,1684,1701,5813
1706,2642,5436,2959,7312,4611
801,2875,2375,5406,2659,4391
8,3061,1768,9579,4451,4952
9120,4342,1414,201,4188,4118
589,2582,3136,9785,1899,7021
9593,3193,525,4405,2851,4381
1683,1477,4112,9644,4766,973
8738,494,7419,4944,5587,1796
2877,2959,5665,2438,6017,7312
1816,5406,5584,1684,5436,1756
1768,4391,1706,8,2035,9128
3132,2642,201,1747,5813,3637
4450,4145,5010,4342,2659,1787
2429,3061,4405,2375,4020,2582
9758,7021,5126,9120,9579,2875
3136,9545,1701,3193,589,4188
1899,3647,2851,1414,4952,801
4451,9593,4118,9785,325,4611
5587,1684,494,2438,8,1683
5406,9128,5436,4766,7419,1747
4145,201,1816,5010,1768,4381
4944,5813,7312,525,4112,4342
3637,2959,2659,2035,2582,9120
4188,5665,2429,1787,2875,1706
4405,1701,801,3061,1756,8738
2851,5584,4391,4118,3136,325
1414,1899,3193,9758,9579,9593
5126,9785,4952,2375,4611,1477
589,3647,4450,9644,2877,4020
2642,1796,6017,7021,9545,4451
973,2582,2959,3132,9128,4145
